CRASH_ID,CRASH_DT,CRASH_X,CRASH_Y,CRASH_MO_NO,CRASH_DAY_NO,CRASH_YR_NO,CRASH_WK_DAY_CD,CRASH_HR_NO,CITY_SECT_NM,FC_CD,FC_SHORT_DESC,LAT,LONG,ST_FULL_NM,ISECTG_ST_FULL_NM,POST_SPEED_LMT_VAL,RD_CHAR_SHORT_DESC,OFF_RDWY_FLG,ISECT_TYP_SHORT_DESC,ISECT_REL_FLG,RNDABT_FLG,DRVWY_REL_FLG,LN_QTY,TURNG_LEG_QTY,IMPCT_LOC_CD,CRASH_TYP_SHORT_DESC,COLLIS_TYP_SHORT_DESC,CRASH_SVRTY_SHORT_DESC,WTHR_COND_SHORT_DESC,RD_SURF_SHORT_DESC,LGT_COND_SHORT_DESC,TRAF_CNTL_DEVICE_SHORT_DESC,TRAF_CNTL_FUNC_FLG,CRASH_EVNT_1_SHORT_DESC,CRASH_CAUSE_1_SHORT_DESC,RTE_NM,CL_STREET1,CL_STREET2
1482220,9/4/2012 00:00,7659781.00,677412.00,9,4,2012,3,7,Portland SE,17,U COLL  ,45.50527778,-122.6155556,SE DIVISION ST             ,SE 46TH AVE                ,35,STRGHT  ,1,,0,0,0,2,0,5,PRKD MV   ,SS-O    ,PDO,CLR ,DRY ,DAY ,UNKNOWN   ,1,,OTHR-IMP,,SE DIVISION ST,SE 46TH AVE
1482400,9/6/2012 00:00,7685187.00,676357.00,9,6,2012,5,7,Portland SE,14,U PR-ART,45.50416667,-122.5163889,SE DIVISION ST             ,SE 142ND AVE               ,55,STRGHT  ,0,,0,0,0,4,0,8,S-1STOP   ,REAR    ,PDO,CLR ,DRY ,DAY ,UNKNOWN   ,1,PED INV   ,TOO-CLOS,,SE DIVISION ST,SE 142ND AVE
1482429,9/6/2012 00:00,7663981.00,677302.00,9,6,2012,5,14,Portland SE,17,U COLL  ,45.50527778,-122.5991667,SE DIVISION ST             ,SE 62ND AVE                ,50,STRGHT  ,1,,0,0,0,3,0,8,PRKD MV   ,SS-O    ,PDO,CLR ,DRY ,DAY ,UNKNOWN   ,1,PHANTOM   ,OTHR-IMP,,SE DIVISION ST,SE 62ND AVE
1482582,9/8/2012 00:00,7680986.00,676462.00,9,8,2012,7,18,Portland SE,14,U PR-ART,45.50416667,-122.5327778,SE DIVISION ST             ,SE 125TH AVE               ,35,STRGHT  ,0,,0,0,0,4,0,7,S-1STOP   ,REAR    ,PDO,CLR ,DRY ,DAY ,UNKNOWN   ,1,,TOO-CLOS,,SE DIVISION ST,SE 125TH AVE
1482604,9/10/2012 00:00,7663269.00,677321.00,9,10,2012,2,18,Portland SE,17,U COLL  ,45.50527778,-122.6019444,SE DIVISION ST             ,SE 60TH AVE                ,,STRGHT  ,0,,0,0,0,4,,8,S-1STOP   ,REAR    ,INJ,CLR ,DRY ,DAY ,NONE      ,1,,TOO-CLOS,,SE DIVISION ST,SE 60TH AVE
1482675,9/7/2012 00:00,7676216.00,676583.00,9,7,2012,6,16,Portland SE,14,U PR-ART,45.50416667,-122.5513889,SE DIVISION ST             ,SE 109TH AVE               ,50,INTER   ,0,3-LEG  ,0,0,0,,0,6,S-1STOP   ,REAR    ,INJ,CLR ,DRY ,DAY ,UNKNOWN   ,1,,TOO-CLOS,,SE DIVISION ST,SE 109TH AVE
1483177,9/12/2012 00:00,7654863.00,677339.00,9,12,2012,4,14,Portland SE,17,U COLL  ,45.50472222,-122.6347222,SE DIVISION ST             ,SE 30TH AVE                ,40,INTER   ,0,CROSS  ,0,0,0,,0,5,PRKD MV   ,TURN    ,PDO,CLR ,DRY ,DAY ,UNKNOWN   ,1,,IMP-TURN,,SE DIVISION ST,SE 30TH AVE
1483214,9/13/2012 00:00,7693234.00,676259.00,9,13,2012,5,14,Portland SE,14,U PR-ART,45.50444444,-122.485,SE DIVISION ST             ,SE 174TH AVE               ,,ALLEY   ,0,,0,0,0,4,,7,ANGL-OTH  ,TURN    ,PDO,CLR ,DRY ,DAY ,NONE      ,1,,NO-YIELD,,SE DIVISION ST,SE 174TH AVE
1483296,9/11/2012 00:00,7672516.00,676778.00,9,11,2012,3,16,Portland SE,17,U COLL  ,45.50444444,-122.5658333,SE DIVISION ST             ,SB EX DIVISION C6          ,35,INTER   ,0,CROSS  ,0,0,0,,0,2,S-1TURN   ,TURN    ,INJ,CLR ,DRY ,DAY ,TRF SIGNAL,1,,DIS TCD ,IS 205    ,SE DIVISION ST,
1483315,9/11/2012 00:00,7683407.00,676402.00,9,11,2012,3,16,Portland SE,14,U PR-ART,45.50416667,-122.5233333,SE DIVISION ST             ,SE 136TH AVE               ,35,ALLEY   ,0,,0,0,0,4,0,7,S-1STOP   ,REAR    ,INJ,CLR ,DRY ,DAY ,UNKNOWN   ,1,FORCED    ,TOO-CLOS,,SE DIVISION ST,SE 136TH AVE
